Neighbourhood Name,Covid Cases
Agincourt North,907
Agincourt South-Malvern West,709
Alderwood,289
Annex,676
Banbury-Don Mills,586
Bathurst Manor,988
Bay Street Corridor,412
Bayview Village,333
Bayview Woods-Steeles,387
Bedford Park-Nortown,806
Beechborough-Greenbrook,428
Bendale,1536
Birchcliffe-Cliffside,741
Black Creek,1835
Blake-Jones,152
Briar Hill - Belgravia,669
Bridle Path-Sunnybrook-York Mills,137
Broadview North,261
Brookhaven-Amesbury,1048
Cabbagetown-South St. James Town,368
Caledonia-Fairbank,489
Casa Loma,251
Centennial Scarborough,432
Church-Yonge Corridor,719
Clairlea-Birchmount,1363
Clanton Park,544
Cliffcrest,564
Corso Italia-Davenport,465
Danforth,196
Danforth-East York,308
Don Valley Village,760
Dorset Park,1479
Dovercourt-Wallace Emerson-Junction,964
Downsview-Roding-CFB,2883
Dufferin Grove,329
East End-Danforth,460
Edenbridge-Humber Valley,508
Eglinton East,1223
Elms-Old Rexdale,565
Englemount-Lawrence,1588
Eringate-Centennial-West Deane,473
Etobicoke West Mall,588
Flemingdon Park,1319
Forest Hill North,390
Forest Hill South,155
Glenfield-Jane Heights,2431
Greenwood-Coxwell,286
Guildwood,340
Henry Farm,758
High Park North,343
High Park-Swansea,506
Highland Creek,674
Hillcrest Village,389
Humber Heights-Westmount,527
Humber Summit,947
Humbermede,1377
Humewood-Cedarvale,309
Ionview,380
Islington-City Centre West,1624
Junction Area,386
Keelesdale-Eglinton West,504
Kennedy Park,773
Kensington-Chinatown,458
Kingsview Village-The Westway,1325
Kingsway South,160
Lambton Baby Point,149
L'Amoreaux,1580
Lansing-Westgate,347
Lawrence Park North,191
Lawrence Park South,203
Leaside-Bennington,265
Little Portugal,452
Long Branch,209
Malvern,2393
Maple Leaf,851
Markland Wood,237
Milliken,771
Mimico (includes Humber Bay Shores),1024
Morningside,888
Moss Park,752
Mount Dennis,815
Mount Olive-Silverstone-Jamestown,2879
Mount Pleasant East,205
Mount Pleasant West,777
New Toronto,334
Newtonbrook East,283
Newtonbrook West,1452
Niagara,581
North Riverdale,157
North St. James Town,899
Oakridge,655
Oakwood Village,781
O'Connor-Parkview,528
Old East York,201
Palmerston-Little Italy,210
Parkwoods-Donalda,1022
Pelmo Park-Humberlea,714
Playter Estates-Danforth,177
Pleasant View,489
Princess-Rosethorn,235
Regent Park,352
Rexdale-Kipling,572
Rockcliffe-Smythe,1173
Roncesvalles,271
Rosedale-Moore Park,267
Rouge,2479
Runnymede-Bloor West Village,109
Rustic,451
Scarborough Village,1272
South Parkdale,944
South Riverdale,472
St.Andrew-Windfields,291
Steeles,885
Stonegate-Queensway,490
Tam O'Shanter-Sullivan,928
Taylor-Massey,623
The Beaches,218
Thistletown-Beaumond Heights,916
Thorncliffe Park,1464
Trinity-Bellwoods,338
University,223
Victoria Village,855
Waterfront Communities-The Island,1364
West Hill,1106
West Humber-Clairville,2602
Westminster-Branson,1789
Weston,1399
Weston-Pellam Park,517
Wexford/Maryvale,1164
Willowdale East,738
Willowdale West,320
Willowridge-Martingrove-Richview,878
Woburn,2940
Woodbine Corridor,168
Woodbine-Lumsden,146
Wychwood,359
Yonge-Eglinton,177
Yonge-St.Clair,169
York University Heights,2124
Yorkdale-Glen Park,1006
